,gp_year,gp_name,gp_round,driver_name,rookie_or_experienced,laptime_std,laptime_std_ms
0,2015,Abu Dhabi Grand Prix,19,Felipe Massa,experienced,00:00.928,928.3578489063052
1,2015,Abu Dhabi Grand Prix,19,Valtteri Bottas,experienced,00:01.043,1043.5735153983267
2,2015,Australian Grand Prix,1,Felipe Massa,experienced,00:00.715,715.2011399159071
3,2015,Austrian Grand Prix,8,Felipe Massa,experienced,00:00.757,757.8038549253303
4,2015,Austrian Grand Prix,8,Valtteri Bottas,experienced,00:00.771,771.9673074745476
5,2015,Bahrain Grand Prix,4,Felipe Massa,experienced,00:01.385,1385.588008192563
6,2015,Bahrain Grand Prix,4,Valtteri Bottas,experienced,00:01.188,1188.2493003805512
7,2015,Belgian Grand Prix,11,Felipe Massa,experienced,00:01.252,1252.49742208063
8,2015,Belgian Grand Prix,11,Valtteri Bottas,experienced,00:01.558,1558.1315115402217
9,2015,Brazilian Grand Prix,18,Felipe Massa,experienced,00:01.059,1059.7824574613717
10,2015,Brazilian Grand Prix,18,Valtteri Bottas,experienced,00:00.647,647.0806323106452
11,2015,British Grand Prix,9,Felipe Massa,experienced,00:01.532,1532.81869369057
12,2015,British Grand Prix,9,Valtteri Bottas,experienced,00:01.441,1441.049764008336
13,2015,Canadian Grand Prix,7,Felipe Massa,experienced,00:01.181,1181.947489285185
14,2015,Canadian Grand Prix,7,Valtteri Bottas,experienced,00:00.478,478.84410329464873
15,2015,Chinese Grand Prix,3,Felipe Massa,experienced,00:01.270,1270.7846817942798
16,2015,Chinese Grand Prix,3,Valtteri Bottas,experienced,00:01.450,1450.641297312807
17,2015,Hungarian Grand Prix,10,Felipe Massa,experienced,00:01.476,1476.008541866652
18,2015,Hungarian Grand Prix,10,Valtteri Bottas,experienced,00:01.036,1036.365219007243
19,2015,Italian Grand Prix,12,Felipe Massa,experienced,00:00.749,749.5857355245884
20,2015,Italian Grand Prix,12,Valtteri Bottas,experienced,00:00.717,717.0734161030186
21,2015,Japanese Grand Prix,14,Felipe Massa,experienced,00:01.194,1194.7417263929713
22,2015,Japanese Grand Prix,14,Valtteri Bottas,experienced,00:01.082,1082.1464295103426
23,2015,Malaysian Grand Prix,2,Felipe Massa,experienced,00:01.605,1605.51514318614
24,2015,Malaysian Grand Prix,2,Valtteri Bottas,experienced,00:01.806,1806.402607186917
25,2015,Mexican Grand Prix,17,Felipe Massa,experienced,00:01.100,1100.8236697959871
26,2015,Mexican Grand Prix,17,Valtteri Bottas,experienced,00:01.195,1195.457960722186
27,2015,Monaco Grand Prix,6,Felipe Massa,experienced,00:01.244,1244.169538697124
28,2015,Monaco Grand Prix,6,Valtteri Bottas,experienced,00:01.388,1388.124817593362
29,2015,Russian Grand Prix,15,Felipe Massa,experienced,00:01.814,1814.2576283625972
30,2015,Russian Grand Prix,15,Valtteri Bottas,experienced,00:00.718,718.7517150411312
31,2015,Singapore Grand Prix,13,Felipe Massa,experienced,00:00.229,229.187287748468
32,2015,Singapore Grand Prix,13,Valtteri Bottas,experienced,00:00.859,859.5141069232056
33,2015,Spanish Grand Prix,5,Felipe Massa,experienced,00:01.214,1214.0331492309883
34,2015,Spanish Grand Prix,5,Valtteri Bottas,experienced,00:01.016,1016.9142953443879
35,2015,United States Grand Prix,16,Felipe Massa,experienced,00:03.552,3552.905132294553
36,2015,United States Grand Prix,16,Valtteri Bottas,experienced,00:13.517,13517.27207439923
37,2016,Abu Dhabi Grand Prix,21,Felipe Massa,experienced,00:00.959,959.6504949189502
38,2016,Abu Dhabi Grand Prix,21,Valtteri Bottas,experienced,00:01.748,1748.67043778981
39,2016,Australian Grand Prix,1,Felipe Massa,experienced,00:00.721,721.232142335084
40,2016,Australian Grand Prix,1,Valtteri Bottas,experienced,00:00.949,949.189965937723
41,2016,Austrian Grand Prix,9,Felipe Massa,experienced,00:01.149,1149.4290567432474
42,2016,Austrian Grand Prix,9,Valtteri Bottas,experienced,00:00.846,846.4138267429678
43,2016,Bahrain Grand Prix,2,Felipe Massa,experienced,00:01.334,1334.7302603614398
44,2016,Bahrain Grand Prix,2,Valtteri Bottas,experienced,00:01.370,1370.8946919696618
45,2016,Belgian Grand Prix,13,Felipe Massa,experienced,00:01.035,1035.259221384762
46,2016,Belgian Grand Prix,13,Valtteri Bottas,experienced,00:01.054,1054.105736727434
47,2016,Brazilian Grand Prix,20,Felipe Massa,experienced,00:11.942,11942.447217438748
48,2016,Brazilian Grand Prix,20,Valtteri Bottas,experienced,00:03.829,3829.8463158856985
49,2016,British Grand Prix,10,Felipe Massa,experienced,00:02.112,2112.059675192104
50,2016,British Grand Prix,10,Valtteri Bottas,experienced,00:01.761,1761.0094998804934
51,2016,Canadian Grand Prix,7,Felipe Massa,experienced,00:00.766,766.404842798189
52,2016,Canadian Grand Prix,7,Valtteri Bottas,experienced,00:00.824,824.0835733504954
53,2016,Chinese Grand Prix,3,Felipe Massa,experienced,00:01.244,1244.5084005868407
54,2016,Chinese Grand Prix,3,Valtteri Bottas,experienced,00:01.103,1103.5676133956629
55,2016,European Grand Prix,8,Felipe Massa,experienced,00:01.563,1563.9325252614715
56,2016,European Grand Prix,8,Valtteri Bottas,experienced,00:01.668,1668.2485650593785
57,2016,German Grand Prix,12,Felipe Massa,experienced,00:01.081,1081.5963038565405
58,2016,German Grand Prix,12,Valtteri Bottas,experienced,00:01.104,1104.273278809996
59,2016,Hungarian Grand Prix,11,Felipe Massa,experienced,00:01.219,1219.102769063576
60,2016,Hungarian Grand Prix,11,Valtteri Bottas,experienced,00:01.076,1076.5615916453908
61,2016,Italian Grand Prix,14,Felipe Massa,experienced,00:00.917,917.627804063709
62,2016,Italian Grand Prix,14,Valtteri Bottas,experienced,00:01.006,1006.7733903872521
63,2016,Japanese Grand Prix,17,Felipe Massa,experienced,00:01.243,1243.4218216947406
64,2016,Japanese Grand Prix,17,Valtteri Bottas,experienced,00:01.112,1112.9363475623718
65,2016,Malaysian Grand Prix,16,Felipe Massa,experienced,00:01.742,1742.445221867164
66,2016,Malaysian Grand Prix,16,Valtteri Bottas,experienced,00:01.313,1313.8533412803788
67,2016,Mexican Grand Prix,19,Felipe Massa,experienced,00:00.503,503.79414548568525
68,2016,Mexican Grand Prix,19,Valtteri Bottas,experienced,00:00.449,449.6366645080538
69,2016,Monaco Grand Prix,6,Felipe Massa,experienced,00:04.083,4083.7138082439005
70,2016,Monaco Grand Prix,6,Valtteri Bottas,experienced,00:05.934,5934.634359313251
71,2016,Russian Grand Prix,4,Felipe Massa,experienced,00:01.201,1201.0978464367458
72,2016,Russian Grand Prix,4,Valtteri Bottas,experienced,00:00.658,658.5859095561889
73,2016,Singapore Grand Prix,15,Felipe Massa,experienced,00:00.978,978.3526036757593
74,2016,Singapore Grand Prix,15,Valtteri Bottas,experienced,00:02.390,2390.4693873015017
75,2016,Spanish Grand Prix,5,Felipe Massa,experienced,00:01.347,1347.6712988950974
76,2016,Spanish Grand Prix,5,Valtteri Bottas,experienced,00:01.218,1218.9495408178682
77,2016,United States Grand Prix,18,Felipe Massa,experienced,00:01.056,1056.3554789743791
78,2016,United States Grand Prix,18,Valtteri Bottas,experienced,00:00.942,942.4167129334694
79,2017,Abu Dhabi Grand Prix,20,Felipe Massa,experienced,00:01.051,1051.4963644490006
80,2017,Abu Dhabi Grand Prix,20,Lance Stroll,rookie,00:01.824,1824.963068790435
81,2017,Australian Grand Prix,1,Felipe Massa,experienced,00:00.854,854.3734308611175
82,2017,Australian Grand Prix,1,Lance Stroll,rookie,00:00.999,999.2281406192282
83,2017,Austrian Grand Prix,9,Felipe Massa,experienced,00:00.921,921.966629655554
84,2017,Austrian Grand Prix,9,Lance Stroll,rookie,00:01.041,1041.799981308101
85,2017,Azerbaijan Grand Prix,8,Felipe Massa,experienced,00:09.083,9083.347563116853
86,2017,Azerbaijan Grand Prix,8,Lance Stroll,rookie,00:01.324,1324.0849729708532
87,2017,Bahrain Grand Prix,3,Felipe Massa,experienced,00:01.136,1136.851307296585
88,2017,Bahrain Grand Prix,3,Lance Stroll,rookie,00:01.538,1538.3786883888156
89,2017,Belgian Grand Prix,12,Felipe Massa,experienced,00:01.687,1687.7816392714644
90,2017,Belgian Grand Prix,12,Lance Stroll,rookie,00:01.527,1527.647794415917
91,2017,Brazilian Grand Prix,19,Felipe Massa,experienced,00:00.573,573.3612930526753
92,2017,Brazilian Grand Prix,19,Lance Stroll,rookie,00:00.947,947.4642494336108
